文章发表时间,文章标题(article_title),文章类型,模型,文章摘要(article_abstract),文章关键词(article_keyword)
2017-10-18,基于改进SIR模型的群体意见竞争演化研究,群体意见竞争演化,SIR模型,"[目的/意义]社会中的每个个体及其交互构成了庞大的社会网络,在沟通与交互过程中,不同的个体有其独特的认知与意见表达,由此形成了多样化的群体意见。群体意见竞争演化的研究,对于网络舆情,尤其是重大突发事件中舆情的疏导具有重要理论和实践意义,而当前对于多样化意见的竞争演化研究仍有所不足。[方法/过程]以经典SIR模型为基础,对模型进行改进与优化,加入多意见群体的竞争机制,并结合意见动力学等理论,建立群体意见竞争演化模型SI_nR,探究易感人群S、多意见传播群体I_i、免疫群体R在社会网络中的竞争演化过程。[结果/结论]以微博平台为研究载体,进一步结合网络爬虫技术和MATLAB程序对微博平台信息传播演化实例,进行仿真分析,揭示不同情景下系统的演化特征,分析参数灵敏度,为网络舆情的积极引导与有效监督提供理论参考。","[""SI_nR模型"",""竞争演化"",""意见动力学"",""系统仿真"",""网络舆情""]"
2017-10-15,网络舆情情感倾向分析模型研究,舆情分析,机器学习,"随着互联网技术的快速发展,网络舆情成为舆情系统中重要的组成部分.网络舆情除具备一般舆情系统的特点外,还具有突发及匿名等特点,将现有的基于语义词典的分析方法和基于机器学习的分析方式相结合并验证其有效性.实验结果表明,该方法较单一方法分析准确率更高.","[""舆情"",""情感倾向"",""本体"",""机器学习""]"
2017-10-05,一种基于时间序列的热点话题发现模型和算法,舆情发现,时间序列分析,"【目的/意义】网络舆情的热点话题对政府和网民有着很大的影响,及时发现热点话题有利于政府监控话题的发展。【方法/过程】本文提出了基于时间序列的话题动态演化两层模型,并将新闻网页内容的相似度和页面链接分析作为话题热度的计算依据,然后利用改进的Single-Pass算法进行增量聚类获得聚类中心,最后根据热度权重将聚类中心进行排序,获得热点话题。【结果/结论】通过实验验证,该算法发现效果好,能够更好地获得热点话题。","[""网络舆情"",""时间序列"",""话题发现"",""聚类"",""话题演化""]"
2017-10-05,基于社会网络分析的新媒体网络舆情传播监管研究,舆情传播规律 舆情监管,社会网络分析法,"【目的/意义】研究新媒体环境下网络舆情信息传播路径和传播规律,对相关部门加强网络舆情监管提供理论和应用支撑。【方法/过程】基于社会网络分析法(Gephi),以新浪微博话题为实证案例对获取的数据进行研究,最终对新媒体环境下网络舆情传播特质进行分析。【结果/结论】研究结论揭示了新媒体环境下网络舆情传播特质和传播规律,为实践层面新媒体环境下网络舆情传播监管提供了理论及实践支撑。","[""网络舆情"",""舆情传播"",""社会网络分析法""]"
2017-10-05,网络舆情波动性特征的GARCH模型分析,舆情分析,GARCH模型,"【目的/意义】随着移动互联网技术的飞速发展,社交网络信息数量呈现爆炸式增长,民众对于热点事件的评论形成强大的舆情力量,因此对舆情的分析与监控成为目前重点关注的问题。【方法/过程】为此,本文基于GARCH模型,以""甘肃白银连环杀人案""事件为例,对网络舆情的波动性进行研究。【结果/结论】通过舆情数据的收集和分析,研究结果表明,该新闻舆论出现与GARCH模型的特点相一致,模型和数据可以通过调整参数实现完美拟合。","[""GARCH模型"",""网络信息"",""舆情"",""波动性""]"
2017-10-05,个人求助网络募捐模式下的网络舆情博弈策略研究,舆情博弈策略,博弈论,"【目的/意义】个人求助网络募捐模式下网络舆情演变各阶段参与主体的认知和利益诉求的差异会影响其行为策略选择,利用演化博弈理论可以从根本上分析舆情的形成与演化动因。【方法/过程】以罗尔事件为例,在动态演化博弈模型基础上探究网络舆情形成、发展、控制三阶段多方参与主体的演化稳定策略选择,并对网络舆情的演变提出合理的指导意见。【结果/结论】根据博弈结果可知:受助人联合企业发布虚假求助信息、网民采取捐助是网络舆情形成阶段的演化稳定策略;事件内情的曝光,网民总体倾向质疑使网络舆情进一步发酵,此时政府的有效干预与相关责任方合理解释有利于控制舆情的波动,使公众利益得到补偿,从而缓解舆情的负面影响。","[""个人求助"",""网络募捐"",""演化博弈"",""演化稳定策略""]"
2017-09-25,基于大数据技术的舆情分析与决策支持系统架构研究,舆情分析 舆情应对方法,大数据分析,"大数据背景下,传统的舆情分析技术和监控系统很难适应海量舆情信息的大数据特征。构建了基于大数据技术的舆情分析与决策支持系统的分层架构,并详细介绍了系统中所使用的关键技术。大数据给社会舆情分析与政府决策支持带来了新的机遇,基于大数据技术的舆情分析与决策支持系统为决策者应对舆情危机提供了科学化的信息支持。","[""舆情分析"",""决策支持"",""大数据技术"",""Hadoop"",""系统架构""]"
2017-09-18,基于大数据的校园网络舆情挖掘研究,舆情分析,大数据分析,"随着信息技术的发展,高校已经成为信息化的主要阵地。在高校校园中,每天的数据量按照PB的规模级进行增长,进而给学校学生工作和思想教育带来极大的挑战。基于上述的背景,在分析大数据和舆情分析的基础上,对高校网络舆情的新特点进行了深入的分析。由此,根据上述的需求,提出一种高校网络舆情分析系统,并对其需求、功能和架构等进行了初步设计。以此,通过设计,为大数据在高校网络舆情中的应用提供借鉴参考。","[""大数据"",""MapReduce分布式"",""思想政治"",""网络舆情"",""数据挖掘""]"
2017-09-18,面向突发事件的网民情绪演化系统动力学模型研究,舆情演化分析,动力学模型,"[目的/意义]近年来,突发事件的网络舆情面临着严重的安全监管形势,而网民情绪作为重要效能因素,其演化机制将很大程度影响事件舆论的走向。[方法/过程]针对突发事件下网民情绪演化的研究,采用系统动力学建模方法,分别从网民自身因素、媒体环境因素以及政府情绪引导控制因素三个影响网民情绪演化的主要方面进行分析,以网民情绪强度作为反映网民情绪演化情况的量化指标,强度越高,表明传播越迅速,范围越广。[结果/结论]通过模拟仿真,从而得出若干条关于面对突发事件的网民情绪演化规律。","[""突发事件"",""网民情绪"",""系统动力学"",""网络舆情""]"
2017-09-15,基于社会网络分析的移动舆情传播模式及监管策略研究,舆情传播规律 舆情监管,社会网络分析法,"[目的 /意义]研究在互联网环境下舆情信息传播路径及传播规律,使社会网络分析法在今后的舆情信息研究中能够更好地被应用,使其理论和方法更加完善,也能对移动环境下舆情传播监管对策具有一定的借鉴意义。[方法 /过程]在对研究对象界定的基础上,利用社会网络分析法(Gephi软件)结合新浪微博""大学生理财""的话题所采集的基础数据,对移动网络环境下舆情传播特征、过程、规律进行实证研究,参考研究结论提出具体监管对策。[结果 /结论 ]验证了社会网络分析方法对于移动环境下网络舆情信息传播研究的有效性和实用性,说明了移动环境下网络舆情信息传播的大致特点,并且为今后进行此项研究提供了新的思路,为实践层面监管网络舆情信息传播提供了借鉴模式。","[""网络舆情"",""舆情传播"",""社会网络分析法""]"
2017-09-15,大数据环境下的网络舆情管理系统设计,舆情管理系统设计,文本分析,"随着网络的快速发展,越来越多的人们通过网络发表个人观点及看法,网络舆情成为社会舆情中的重点对象和主要方式。本文通过对大数据环境下网络舆情及其特点的阐述、分析,结合数据挖掘、文本情感分析等技术,初步构建出了网络舆情管理系统的模型。","[""大数据"",""网络舆情"",""数据挖掘"",""文本情感分析""]"
2017-09-13 13:38,基于语义隶属度模糊推理的网络舆情监测预警实证研究,舆情预警,模糊推理,"[目的/意义]挖掘网络舆情相关信息,构建基于语义隶属度模糊推理的网络舆情监测预警评估方法,对实现网络舆情危机监测和预警具有重要意义。[方法/过程]采用扎根理论提取、筛选指标要素,使用改进的AHP法确定指标权重,通过二级模糊综合评判方法判定舆情信息的语义隶属度,建立基于语义隶属度模糊推理的网络舆情监测预警模型。[结果/结论]能够对网络舆情事件进行有效监测和预警,为网络舆情预警评估的实现和应用提供一个整体、系统的科学依据,提高网络舆情实时监控能力和管理能力。[局限]诸多平台数据和隐性指标数据未能予以完全考虑。","[""语义隶属度"",""模糊推理"",""网络舆情"",""舆情监测"",""舆情预警""]"
2017-09-13 13:38,基于灰色关联分析的网络舆情意见领袖识别及影响力排序研究——以新浪微博“8·12滨海爆炸事件”为例,舆情意见领袖识别与影响力排序,灰色关联分析,"[目的/意义]突发事件中网络舆情意见领袖扮演着传播、引导、推动舆论发展等重要作用,有效识别意见领袖对实现网络舆情监测和预警具有重要意义。[方法/过程]结合网络舆情在微博平台的传播特征,从影响力、活跃度和认同度3个维度出发,构建微博意见领袖指标体系,应用一种改进的模糊—层次分析法确定指标要素权重,并通过灰色关联分析法构建一种意见领袖识别模型及影响力排序方法。[结果/结论]提供了一种意见领袖识别模型,可以科学有效地对网络舆情事件的意见领袖进行识别和影响力分析。[局限]指标量化维度和隐性指标数据存在一定的可扩展性。","[""微博"",""网络舆情"",""意见领袖"",""灰色关联分析""]"
2017-09-08,智能化的平行实验方法,舆情分析与智能化平行实验方法,ACP方法,"ACP(Artificial Society,Computational Experiments,Parallel Execution)方法作为解决复杂系统研究分析问题的手段,已经在公共安全等领域发挥了重要的作用。随着大数据、智能学习、博弈方法等技术的发展,为解决研究中遇到的核心问题,提出一种智能化的平行实验方法,基于该方法讨论了在公共安全、生物威胁安防和联合作战实验方面的研究可能性。给出了方法在公共安全领域的案例,包括人群疏散案例、网络舆情案例以及化工区安防案例。基于案例进一步拓展智能化的平行实验方法在更多领域的应用和思考。","[""ACP方法"",""智能化"",""公共安全"",""生物威胁"",""作战实验""]"
2017-09-08,面向网络舆情仿真的人物智能体建模,舆情成因分析 舆情演化分析,仿真分析,"人是社会中具有自主行为的个体,对网络舆情突发事件的发生、发展具有重要影响,同时由个体组成的群体是舆情事件的承灾体,因此使用仿真建模手段探索网络舆情发生、发展机理,为舆情事件应急处置措施提供决策支撑时,对个体行为的建模仿真显得尤其重要。面向网络舆情仿真,分析了个体信息处理的心理行为过程,提出了能够反映个体心理行为过程的机理模型,基于实际数据进行了个体模型的实现、参数分析和仿真实验。","[""舆情仿真"",""人物建模"",""心理行为"",""机理模型""]"
2017-09-05,基于残差修正的多因素灰色模型的网络舆情预测研究,舆情预测,多因素回测模型 BP神经网络,"【目的/意义】精准预测与掌握舆情事件的发展,及时发现舆情中的潜在危机,对社会的长治久安具有重要意义。【方法/过程】针对网络舆情演化的不确定性、多变性与灰色性等特征,选取多个指标数据建立多因素灰色模型(MGM(1,m))。同时,为提高预测结果的精确度,利用BP神经网络对多因素灰色模型的预测残差进行修正,构建基于残差修正的多因素灰色模型,并结合""莆田系事件""对模型预测性能进行验证。【结果/结论】仿真结果表明,相对于单一序列GM(1,1)模型和无残差修正的多因素灰色模型,残差修正后的多因素灰色模型在网络舆情预测上具有一定的优势。","[""网络舆情"",""多因素灰色预测模型"",""BP神经网络"",""网络舆情预测""]"
2017-09-01,浅谈文本聚类算法对网络热点发现精准度的影响,舆情发现精准度与聚类算法,文本聚类,"面对舆情载体已从传统媒体向互联网转移的新形势,从网络舆情热点发现的主要技术出发,研究网络舆情热点发展的规律,准确把握网络舆情热点,提高网络舆情的精准度。在此基础上,重点分析文本聚类中不同种类的算法研究对网络热点发现精准度的影响。","[""网络舆情"",""热点发现"",""文本聚类"",""精准度""]"
2017-08-28,企业网络舆情安全管理能力模型建构——基于涌现利用的研究视角,舆情安全管理,改进的DEMETAL,"为了分析企业网络舆情安全管理能力要素之间的相互作用关系和结构属性,提出了一种基于涌现理论并综合运用AHP和DEMETAL方法分析企业网络舆情安全管理能力的分析路径。首先,在现有网络舆情和安全管理研究成果的基础上,充分参考学者和行业专家的意见,建立企业网络舆情安全管理能力概念模型和构成要素集;其次,针对传统DEMETAL方法的不足,构建了结合AHP改进的DEMETAL方法;最终通过问卷调研建立要素间影响关系判断矩阵,通过计算要素中心度和原因度来确定要素之间影响关系。结果表明,所用方法可以用来分析企业网络舆情安全管理能力并建构相关结构模型。","[""安全管理能力"",""网络舆情"",""涌现"",""DEMETAL""]"
2017-08-25,网络舆情主动感知技术探析,舆情主动感知技术,主动感知技术,"针对网络舆情主动感知技术研究的片面性和主动感知界定的模糊性,对主动感知技术进行初步探析。按照舆情分析的主要流程,以信息获取、处理和分析模块为基础,从感知来源、感知内容、感知方法 3个方面对技术原理及难点进行了探讨;感知来源主要分为网页感知、微博感知、论坛感知;感知内容主要有语义感知和文本感知;感知方法主要有关联感知和预测感知。对网络舆情各方面的主动感知技术进行了框架性的描述。","[""网络舆情"",""主动感知技术"",""来源感知"",""内容感知"",""方法感知""]"
2017-08-25,网络舆情观点主题识别研究,舆情观点分析,LDA模型,"【目的】识别网络舆情中的观点主题。【方法】通过舆情信息内容、用户关系、用户行为三个方面的4个维度(时间维、用户维、内容维、观点维)的关联,构建微博舆情观点主题识别模型。【结果】提出包括舆情网络构建、观点主题抽取及聚类、""用户–所属观点主题""2-模网络构建、观点主题演化分析4部分的网络舆情观点主题识别方法体系,实验结果证明该方法体系可有效识别网络舆情中的观点主题。【局限】用户属性对观点主题识别的影响有待进一步考虑。【结论】基于社会网络视角,利用LDA主题模型,可多方面、多维度地识别网络舆情观点主题。","[""网络舆情"",""社会网络"",""LDA模型"",""主题识别"",""观点主题""]"
2017-08-15,基于SAPSO_RBF神经网络的网络舆情预测研究,舆情预测,RBF神经网络 粒子群算法 模拟退火算法,"网络舆情的发展具有复杂、时变的特征,构建时间序列分析模型对网络舆情预测具有现实意义,为了提高径向基神经网络模型的预测准确率,利用模拟退火算法优化后的粒子群算法实现对RBF神经网络的优化,构建SAPSO_RBF神经网络的网络舆情预测模型,并以""魏则西""事件为例进行实验仿真和分析,结果表明该模型在预测性能上具有较好的优越性和稳定性。","[""网络舆情"",""RBF神经网络"",""粒子群算法"",""模拟退火算法""]"
2017-08-15,网络舆情演化机理多维建模与仿真研究,舆情演化分析,logistic模型,"[目的/意义]研究网络舆情演化的多维度模型,从更高视角解读网络舆情传播规律,丰富和完善网络舆情传播理论。[方法/过程]定量分析网络舆情趋势预测中信息增长率的变化问题,构建以增长率和时间为自变量,信息累计数量为因变量的多维函数模型,并通过MATLAB仿真研究各个参数对网络舆情传播的影响以及网络舆情传播路径分析,然后通过""成都女司机""微博数据验证了模型的可行性,更加直观地诠释了高维模型研究网络舆情演化机理的优势。[结论/结果 ]经过理论建模和实证分析得出,将logistic模型拓展到高维研究网络舆情演化机理是可行的,并且多维度模型很好地解释了网络舆情数据出现多个""峰值""现象,而网络舆情统计数据的实质是高维度模型曲线在时间轴的投影。","[""网络舆情"",""Logistic模型"",""演化机理"",""仿真分析"",""实证分析"",""大数据""]"
2017-08-15,网络舆情事件演化的仿真实践研究,舆情演化分析,Netlogo仿真,"基于Net Logo仿真系统构建了网络舆情事件的演化仿真模型。利用图形化的界面和NetLogo特有的Turtle、Patch、Link代理Agent组成网络舆情事件的复杂网络仿真系统。实现了以图形输出窗口展现网络舆情传播演化的过程,从而直观地展示了网络舆情事件的初发、加剧、爆发、衰弱至消亡的整个生命周期。局限在于没有考虑动态的网络关系和社区网络结构对仿真模拟的影响。本文通过仿真实践发现了在网络舆情事件演化过程中各因素的相互作用关系,也为网络舆情演化仿真提供了可视化范例。","[""网络舆情"",""群体性事件"",""NetLogo"",""仿真"",""复杂网络""]"
2017-08-15,基于SNA与模糊TOPSIS的网络舆情关键节点识别分类模型研究,舆情关键节点分类,SNA 模糊TOPSIS,"[目的/意义]在舆情监控和管理的实践过程中,迅速有效地识别出舆情网络中的关键节点,对舆情的监督和治理具有重要意义。[方法/过程]从内容与结构双重维度,设计一种完整的网络舆情关键节点挖掘、识别和分类的技术方法。涉及Goo Seeker、Gephi、Fuzzy AHP和TOPSIS等软件和算法,并以新浪微博""8·12滨海爆炸""事件为例进行具体分析。[结果/结论 ]突破了单纯从单一维度进行关键节点排序的局限性,使关键节点的识别与分类进一步深入,并明确演化特征,对网络舆情的科学应对具有参考价值。","[""网络舆情"",""关键节点"",""识别"",""分类"",""社会网络分析"",""综合评价""]"
2017-08-10,基于贝叶斯网络的应急预测算法在群体性突发事件网络舆情中的优势研究,舆情应对方法,贝叶斯网络,"随着网络社会的逐渐发展,群体性突发事件可以通过互联网形成网络舆情,并对政府及企业处理群体性突发事件带来极大挑战.网络舆情的变动机制、阻动机制、启动机制与驱动机制分别在爆发、终结、形成与扩散阶段起到了引导作用.论文阐述了贝叶斯网络应急预测算法在网络舆情中群体事件性能方面的优势.","[""群体性"",""突发事件"",""网络舆情"",""演变""]"
2017-08-09 15:11,基于大数据分析的突发事件网络舆情预警研究,舆情预警,大数据分析,"[目的/意义]随着社交媒体的发展,突发事件经由网络传播引发网络舆情,网络舆情的预警是引导网络舆情,进而管控突发事件发展态势的前提,在大数据环境中,突发事件网络舆情的预警需要大数据分析,其对应急决策起着关键性的作用。[方法/过程]从国内外学者的研究经验出发,文章将文献研究和案例研究结合,强调网络舆情预警中的大数据分析既需要大数据分析能力,更需要在网络舆情预警的数据采集、舆情分析和监测预警三阶段中的大数据分析技术支撑。[结果/结论]着眼于网络舆情预警的特点,将""有形资源""——大数据分析技术和""无形资源""——大数据分析能力两者融合突破网络舆情预警的传统方式,构建突发事件网络舆情预警分析体系,增强突发事件网络舆情预警的有效性。","[""大数据分析"",""突发事件"",""网络舆情"",""舆情预警"",""案例分析""]"
2017-08-06,突发公共事件网络信息非线性动力学传播模型分析,舆情传播规律,非线性动力学,"突发公共事件网络信息传播呈现出形态多样、迅速及时、范围广等特性。在分析突发公共事件网络信息传播特点的基础上,给出了突发公共事件网络信息传播的影响因素,接着深入分析了三种突发公共事件网络信息传播模型SIR、信息熵模型、带时滞的SIRS。","[""突发公共事件"",""信息传播"",""非线性动力学"",""数学模型""]"
2017-07-25,网络舆情危机等级评价模型构建及其应用——以廉政网络舆情为例,舆情评估,等级评价模型,"文章在给出廉政网络舆情危机等级评价模型构成维度的基础上,构建廉政网络舆情危机等级评价模型,明确其优先级运算方法。以""张昆生严重违纪""与""社保局科员私吞九百万养老金""两起廉政网络舆情危机事件为例,对其舆情危机等级进行判定,证明构建的廉政网络舆情危机等级评价模型合理有效。","[""网络舆情"",""舆情危机"",""廉政"",""等级评价模型""]"
2017-07-20 22:34,大数据环境下基于SVM-WNB的网络舆情分类研究,舆情分类,SVM-WNB 算法,"当前网络舆情信息存在数据量大、流动快及数据非结构化等特点,难以实现对其快速、准确的分类。SVM算法和朴素贝叶斯算法都是性能优秀的传统分类算法,但无法满足快速处理海量数据。文章利用Ha-doop平台可并行处理分布式数据存储的优良特性,提出了HSVM_WNB分类算法,将采集的舆情文档依照HDFS架构进行本地化存储,并通过MapReduce进程完成并行分类处理。最后利用实验验证,本算法能够有效提升网络舆情分类能力与分类效率。","[""大数据"",""网络舆情"",""Hadoop云平台"",""SVM-WNB算法"",""并行处理""]"
2017-07-20,基于支持向量机的网络热点话题预测,舆情预测,支持向量机,"热点话题是一种人们在网络上表达自己意见和看法方法的重要方式,针对网络热点话题的变化特点,为了解决当前网络热点话题预测模型存在预测精度低、预测结果不稳定的难题,设计了一种基于支持向量机的网络热点话题预测模型。收集网络热点话题数据,并对数据进行预处理,采用支持向量机建立网络热点话题预测模型,采用VC++6.0实现网络热点话题的仿真实验,改善了网络热点话题的预测效果,而且可以满足网络热点话题在线需求,具有一定的实际应用价值。","[""热点话题"",""网络舆情"",""支持向量机"",""仿真测试""]"
2017-07-15,模糊推理的网络舆情观点聚合CA模型研究,舆情观点分析,元胞自动机 模糊推理,"为了探究网络舆情的演化机理及传播机制,并考虑到舆情信息以及舆情个体态度的模糊性特点,提出一种基于模糊推理理论的网络舆情观点聚合的CA(Cellular Automaton)模型.定义关注度、态度群落、环境适应强度三种舆情个体属性.将个体属性模糊化,建立模糊推理规则库.把模糊属性反模糊输出的值作为元胞情感状态变化权重,在元胞自动机模型Moore邻域结构下演化并分析个体属性以及邻域环境对网络舆情观点聚合现象的影响.并仿真得到了两种不同模糊定界下的网络舆情观点聚合效果,这些""类聚""状态反映了舆情生命周期的阶段特点,为舆情应对和引导提供参考.","[""元胞自动机"",""网络舆情"",""模糊推理"",""观点聚合"",""MATLAB仿真""]"
2017-07-15,大型电视节目网络舆情大数据分析技术方案及实现,舆情分析,用户画像,"本文简要介绍了大型电视节目网络舆情大数据分析系统的总体架构,并详细介绍了数据分析的实现步骤,通过深度分析,以期为大型电视节目的制作、播出以及相关活动,提供强有力的支持。","[""大数据"",""舆情分析"",""情感评价"",""用户画像""]"
2017-07-15,基于BP神经网络的网络舆情预警模型研究,舆情预警,BP神经网络,"随着智能移动终端的普及,互联网开创了一个多维的自由言论平台。众多网民面对社会突发事件主观臆断地发表言论,引发了一系列网络舆情事件的发生,进而导致社会的恐慌和不稳定。本实验从敏感度、倾向度等5个维度指标对""宁波镇海PX事件""""昆明PX事件""""云南晋宁冲突事件""等案例进行描述,使用Matlab软件函数对数据归一化预处理,再经过样本训练学习和目标测试,最后建立舆情预警模型。实验表明,模型的预警测试效果准确率达到90%以上,本实验的网络预警模型是有效可行的,能为政府和企事业单位提供及时、有效的网络舆情事件预警提示。","[""BP神经网络"",""网络舆情"",""网络预警"",""预警指标""]"
2017-07-15,大数据在应急管理中的应用,应急管理与大数据,大数据分析,"数据收集和分析是提升应急管理功能的重要手段,大数据在应急管理中的应用主要有大数据和大数据思维,大数据在应急管理中的应用不仅应用于事前准备、事中响应,还应用于事后响应与恢复,其[23]大数据革命悄然来临,英国""尝鲜""[N].新华每日电讯,2013-05-21.应用程度随应对内容的不同而有差别,大数据的应用有助于提高应急管理效率节省成本,并能减少损失,分析现状,我国不仅需要在大数据开放政策方面给予支持,还应在大数据在应急管理中的具体应用作研究,并明确部署应用范围和具体的应用形式,本文也正是针对此,作出了一番探讨和分析。","[""大数据"",""应急管理"",""应用范围与形式""]"
2017-07-01,语义统计分析下网络舆情挖掘技术的分析,舆情分析,语义分析,"网络信息技术的发展和进步,使得人们可以有效性的应用网络信息技术获得大量的信息、充分的了解社情民意。但是,应用人工方式无法有效性的从鱼龙混杂的网络信息中寻找出自身需要的信息。因此,本文主要就基于语义分析下网络舆情信息挖掘和分析技术重点进行论述。","[""语义分析"",""网络舆情"",""信息挖掘分析技术""]"
2017-06-28,基于大数据的突发事件网络舆情对策研究,舆情应对方法,大数据分析,"大数据时代使得传统的舆情分析方式发生了剧变,已有的舆情分析技术和监控系统很难适应这一变化。面对当今飞速发展的网络时代,如何处理大数据环境下突发事件的网络舆情,已成为当前迫在眉睫的问题。文章对突发事件的网络舆情进行概述,利用大数据对当前的网络舆情分析的关键技术进行了总结,得出舆情的应对策略,并提出了值得研究的问题。","[""大数据"",""突发事件"",""网络舆情""]"
2017-06-25,基于改进K近邻算法的网络舆情技术研究,舆情分类,k近邻,"随着网络技术快速发展和网民数量的快速增加,网络已成为影响社会稳定和人民行为的一种重要媒介,网络舆情的研究迫在眉睫。基于这一现状,提出了一种基于关键词的改进K近邻算法网络舆情技术,该算法首先进行特征提取,将话题表示为由关键词和特征词两部分构成的话题模型;随后分析新话题,分类中使用关键词信息而不是时间序列,按照关键词分组找出最相近的历史话题并通过修正函数预测新话题关注度。实验结果表明热点话题的分类准确率提高了7个百分点,并有效解决了关键词的过度依赖问题。最后通过对网络中真实的热点案例分析,表明上述算法具有可行性。","[""网络舆情"",""话题分类"",""话题模型"",""K近邻"",""关键词""]"
2017-06-18,基于直觉模糊推理的网络舆情监测预警评估方法研究,舆情预警,模糊评价,"[目的/意义]挖掘网络舆情相关信息,构建基于直觉模糊推理的网络舆情监测预警评估方法,对实现网络舆情危机监测和预警具有重要意义。[方法/过程]以施拉姆大众信息传播模式为基础,采用扎根理论提取指标要素,以模糊-层次分析法确定指标要素权重,通过直觉模糊推理算法和模糊综合评判法进行网络舆情监测预警评估。[结果/结论]能够对网络舆情事件进行有效监测,为网络舆情预警评估的实现和应用提供一个整体、系统的科学依据,提高网络舆情实时监控能力和管理能力。","[""网络舆情"",""监测预警"",""直觉模糊推理"",""模糊综合评判""]"
2017-06-18,面向大数据的网络舆情热度动态预测模型研究,舆情预测,logistic模型 灰色关联分析,"[目的/意义]面向大数据研究网络舆情热度模型以及热度预测模型,能够准确把握大数据环境下网络舆情热度,并可以决定网络舆情应对和舆论引导措施的轻重缓急,具有重要的理论意义。[方法/过程]定性分析大数据环境下网络舆情热度影响因素,通过定义最大关联度向量,基于灰色关联度方法构建网络舆情热度模型,并在此基础上构建多维度logistic模型对各个媒体平台舆情信息开展预测,通过灰色关联度得出动态预测方法。[结论/结果]经过理论建模和实证分析得出构建的热度模型和热度动态预测模型是可行的,以上理论研究可为政府准确把握大数据环境下网络舆情热度,制定网络舆情引导策略提供参考依据。","[""大数据"",""网络舆情"",""灰色关联度"",""热度预测"",""logistic""]"
2017-06-15,基于元胞自动机模型的网络舆情导控机制研究,舆情引导对策,元胞自动机,"为探究网络舆情的演化规律及导控作用,采用定量分析方法,提出一种基于元胞自动机的舆情导控机制。定义内在动力系数、倔强度系数等舆情主体属性,提出舆情导控力系数。在元胞自动机模型中,把主体属性以及导控强度赋值给每一个元胞,仿真实现并分析了外界导控作用、网民属性对网络舆情发展的强度和方向的影响。实验结果表明,在网络舆情传播形成和发展时期对舆情进行正确导控,可以避免不良舆论的发生,舆情演化总体呈现扩散状态。","[""元胞自动机"",""网络舆情"",""主体属性"",""舆情导控"",""Matlab建模""]"
2017-06-15,网络舆情话题检测技术研究,舆情检测,文本聚类,"针对网络舆情BBS上的热点话题,提出了一种基于给定话题关键词的多级关键词话题检测算法,借助主次关键词、同义词和变形词扩展,构建了层次化的话题模型。并加入命名实体识别技术和具有就近原则及周期性原则的话题时序关系。测试验证本算法较之传统的文本聚类检测算法更加有效。","[""网络舆情"",""话题检测与跟踪"",""文本聚类""]"
2017-06-15,基于模糊C均值的舆情等级分类模型研究,舆情等级分类,模糊C均值 自动聚类,"舆情应对的基本前提是舆情研判,也即将舆情按照轻重缓急程度归类,然后采取不同的应对措施。将舆情划分为4个等级,结合模糊C均值(FCM)算法定义了一个对舆情的自动聚类判别模型,并运用样本舆情对模型进行了验证分析。在舆情应对中,可将模型得出的结果作为应对的辅助手段,提升舆情应对的精准度和实时性,提高各级舆情部门的应对能力。","[""网络舆情"",""舆情等级"",""模糊C均值"",""自动聚类""]"
2017-06-05,基于双路径模型的网络舆情在社交网络上的传播机制研究,舆情传播规律,双路径模型,"【目的/意义】在网络舆情传播的过程中,网民、媒体、政府等主体扮演了相当重要的角色。【方法/过程】本文将舆情信息质量看作二阶反映式变量,在此基础上构建了受众的舆情传播行为影响因素双路径模型,利用PLS结构方程建模对问卷调查数据进行了分析,研究了作为中枢路径的舆情信息质量及作为边缘路径的媒体干预和政府引导如何影响受众的态度,以及受众的态度如何进一步影响受众的舆情传播行为,并结合舆情传播过程中主要影响因素的研究结果,分析了社交网络上网络舆情的传播机制。【结果/结论】研究结果表明,媒体干预加速网络舆情的扩散,政府引导则能起到平息舆情或引导舆情良性发展的作用。","[""网络舆情"",""信息质量"",""媒体"",""政府"",""双路径模型"",""舆情传播机制""]"
